train_acc,test_acc,train_loss, test_loss, train_error, test_error
0.93916,0.9123,0.17817748931076977,0.2637428225130792,0.06084,0.0877
0.94028,0.9137,0.17589705831387922,0.2621039612230602,0.05972,0.0863
0.94022,0.9135,0.17369545042953072,0.25953950467193204,0.05978,0.0865
0.94206,0.9136,0.169805992742443,0.26476650018316167,0.05794,0.0864
0.94188,0.9153,0.1687735789229193,0.25832472200606277,0.05812,0.0847
0.94522,0.9151,0.16208756668850435,0.2610716798645296,0.05478,0.0849
0.94488,0.915,0.1622199148292203,0.26162346177230217,0.05512,0.085
0.94406,0.9131,0.16053093295744467,0.2633538761051597,0.05594,0.0869
0.94554,0.9107,0.15700916031761394,0.27064337548176953,0.05446,0.0893
0.9458,0.9155,0.15686663627014746,0.2630335800586992,0.0542,0.0845
0.94768,0.9158,0.15344220055433946,0.2561474365128833,0.05232,0.0842
0.9493,0.9163,0.1478691060915399,0.2575829048540182,0.0507,0.0837
0.9486,0.9136,0.15090752230085375,0.26104808608247976,0.0514,0.0864
0.9496,0.912,0.14849256759371293,0.2698324261719634,0.0504,0.088
0.94976,0.9105,0.14749835570678688,0.2746105304901387,0.05024,0.0895
0.95216,0.9128,0.143381823597433,0.26195989496958483,0.04784,0.0872
0.95108,0.9132,0.1434044497625907,0.264786050506648,0.04892,0.0868
0.9505,0.9156,0.1445570483832332,0.26387369262564714,0.0495,0.0844
0.95028,0.9157,0.1416588824985506,0.26105748055277356,0.04972,0.0843
0.95102,0.9141,0.14169044204323036,0.2609381486845624,0.04898,0.0859
0.95256,0.9148,0.14063776387830676,0.25993902919588574,0.04744,0.0852
0.95186,0.9136,0.14036266921597826,0.25915662218241176,0.04814,0.0864
0.95206,0.9126,0.1368729275463106,0.26575494557619095,0.04794,0.0874
0.95298,0.9141,0.13832167231613565,0.2608349142465622,0.04702,0.0859
0.95304,0.9139,0.1364141372092011,0.2673147679514186,0.04696,0.0861
0.95378,0.9141,0.13616074333943978,0.26949287061193944,0.04622,0.0859
0.95324,0.9153,0.13368855946985506,0.26205992978659404,0.04676,0.0847
0.95404,0.9113,0.1352790617205374,0.271558181210688,0.04596,0.0887
0.9534,0.913,0.1365332780524974,0.2669501851793307,0.0466,0.087
0.9555,0.9147,0.13229149616206698,0.26448117077920086,0.0445,0.0853
0.95392,0.9107,0.1355626272309162,0.2766986730372071,0.04608,0.0893
0.95636,0.9144,0.12936355145957767,0.26627742484876304,0.04364,0.0856
0.95584,0.9129,0.13174287731404347,0.27334296988074186,0.04416,0.0871
0.95586,0.9112,0.1323239831992275,0.27800557596288666,0.04414,0.0888
0.9565,0.9147,0.1298662702722089,0.2716368767581168,0.0435,0.0853
0.95424,0.9156,0.1311247882044986,0.2595271531753479,0.04576,0.0844
0.9551,0.9088,0.1320016726594218,0.27189228107120583,0.0449,0.0912
0.9556,0.9119,0.12969016506696296,0.2828551415520109,0.0444,0.0881
0.95652,0.9102,0.1280975146624057,0.2819712741691975,0.04348,0.0898
0.95546,0.9123,0.13201588668081615,0.2723003877386166,0.04454,0.0877
0.95586,0.911,0.12936096761823462,0.27541649479205443,0.04414,0.089
0.95514,0.9131,0.1310087626995257,0.2808056056594393,0.04486,0.0869
0.95522,0.9148,0.13110408733320206,0.2705410341168665,0.04478,0.0852
0.95666,0.9135,0.13001513322029273,0.2748798483116612,0.04334,0.0865
0.9556,0.913,0.1295983062680725,0.27631521220229993,0.0444,0.087
0.95676,0.9127,0.1274153663755378,0.28071683251364216,0.04324,0.0873
0.95694,0.9109,0.12879781526468143,0.2731855186592242,0.04306,0.0891
0.9561,0.9091,0.12913707972449415,0.27723662396240384,0.0439,0.0909
0.9559,0.9131,0.1288263682190262,0.26842073949089473,0.0441,0.0869
